street_name,LOCATION,weighted_count
                          FY,60                           FY,0.0
                         FY,110                          FY,0.0
                         FY,405                          FY,0.0
   108TH,1000    108TH,0.0
   10TH                         AV,1900    10TH                         AV,0.0
   10TH                         AV,2000    10TH                         AV,0.0
   10TH                         AV,2100    10TH                         AV,0.0
   10TH                         AV,2300    10TH                         AV,0.0
   10TH                         AV,2400    10TH                         AV,2.625
   10TH                         AV,2500    10TH                         AV,2.625
   10TH                         AV,2900    10TH                         AV,2.625
   10TH                         AV,3000    10TH                         AV,2.625
   10TH                         AV,3400    10TH                         AV,0.0
   10TH                         AV,3500    10TH                         AV,0.0
   10TH                         AV,3600    10TH                         AV,0.0
   10TH                         AV,4200    10TH                         AV,2.625
   10TH                         AV,4300    10TH                         AV,0.0
   10TH                         AV,4400    10TH                         AV,0.0
   10TH                         AV,4500    10TH                         AV,0.0
   10TH                         AV,4600    10TH                         AV,2.625
   10TH                         AV,4700    10TH                         AV,0.0
   10TH                         AV,4800    10TH                         AV,0.0
   10TH                         AV,4900    10TH                         AV,0.0
   10TH                         AV,5400    10TH                         AV,9.625
   10TH                         AV,5700    10TH                         AV,5.25
   10TH                         AV,5900    10TH                         AV,2.625
   10TH                         AV,6000    10TH                         AV,6.125
   10TH                         AV,6100    10TH                         AV,0.0
   10TH                         AV,6200    10TH                         AV,2.625
   10TH                         AV,6300    10TH                         AV,18.375
   10TH                         AV,6400    10TH                         AV,2.625
   10TH                         AV,6700    10TH                         AV,15.75
   10TH                         AV,6800    10TH                         AV,0.0
   10TH                         AV,6900    10TH                         AV,5.25
   10TH                         AV,7100    10TH                         AV,18.375
   10TH                         AV,7200    10TH                         AV,2.625
   10TH                         AV,7300    10TH                         AV,2.625
   11TH                         AV,2500    11TH                         AV,0.0
   11TH                         AV,2900    11TH                         AV,2.625
   11TH                         AV,3000    11TH                         AV,0.0
   11TH                         AV,3400    11TH                         AV,2.625
   11TH                         AV,3500    11TH                         AV,7.0
   11TH                         AV,4100    11TH                         AV,21.0
   11TH                         AV,4200    11TH                         AV,0.0
   11TH                         AV,4300    11TH                         AV,0.0
   11TH                         AV,4400    11TH                         AV,5.25
   11TH                         AV,4500    11TH                         AV,0.0
   11TH                         AV,4800    11TH                         AV,0.0
   11TH                         AV,4900    11TH                         AV,5.25
   11TH                         AV,5000    11TH                         AV,2.625
   11TH                         AV,5100    11TH                         AV,0.0
   11TH                         AV,5300    11TH                         AV,13.125
   11TH                         AV,5400    11TH                         AV,2.625
   11TH                         AV,5700    11TH                         AV,15.75
   11TH                         AV,6000    11TH                         AV,0.0
   11TH                         AV,6100    11TH                         AV,2.625
   11TH                         AV,6200    11TH                         AV,0.0
   11TH                         AV,6300    11TH                         AV,0.0
   11TH                         AV,6400    11TH                         AV,2.625
   11TH                         AV,6600    11TH                         AV,5.25
   11TH                         AV,6700    11TH                         AV,0.0
   11TH                         AV,6800    11TH                         AV,6.125
   11TH                         AV,7100    11TH                         AV,0.0
   12TH                         AV,1300    12TH                         AV,2.625
   12TH                         AV,1400    12TH                         AV,7.875
   12TH                         AV,1500    12TH                         AV,2.625
   12TH                         AV,1600    12TH                         AV,0.0
   12TH                         AV,1800    12TH                         AV,5.25
   12TH                         AV,2500    12TH                         AV,7.875
   12TH                         AV,2800    12TH                         AV,5.25
   12TH                         AV,2900    12TH                         AV,2.625
   12TH                         AV,3000    12TH                         AV,13.125
   12TH                         AV,3400    12TH                         AV,7.875
   12TH                         AV,3500    12TH                         AV,0.0
   13TH                         AV,2500    13TH                         AV,2.625
   25TH                         ST,1900    25TH                         ST,0.0
   25TH                         ST,2000    25TH                         ST,34.125
   25TH                         ST,2100    25TH                         ST,18.375
